candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0003,FR-EAF/standard,FR-EAF-REDA-01,,3,,IDEE,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-REDA-01,,0,,TEXTE,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-REDA-01,,1,,STRU,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-REDA-01,,1,,LANG,COR-01,2025-09-15
CL-2026-0003,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LECT,COR-01,2025-09-15
CL-2026-0003,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,EXPLI,COR-01,2025-09-15
CL-2026-0003,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,GRAMM,COR-01,2025-09-15
CL-2026-0003,FR-EAF-ORAL/standard,FR-EAF-ORAL,,1,,ENTRET,COR-01,2025-09-15
CL-2026-0003,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LANGOR,COR-01,2025-09-15
CL-2026-0003,EDS-MATH/N1,MATH-1-RAIS-01,,3,,DEMARCHE,COR-01,2025-09-15
CL-2026-0003,EDS-MATH/N1,MATH-1-RAIS-01,,2,,REDAC,COR-01,2025-09-15
CL-2026-0003,EDS-MATH/N1,MATH-1-RAIS-01,,0,,VERIF,COR-01,2025-09-15
CL-2026-0003,EDS-MATH/N1,MATH-1-RAIS-01,,2,,EXACT,COR-01,2025-09-15
CL-2026-0003,EDS-PC/N1,PC-1-RES-01,,3,,MODEL,COR-01,2025-09-15
CL-2026-0003,EDS-PC/N1,PC-1-RES-01,,2,,CALCUL,COR-01,2025-09-15
CL-2026-0003,EDS-PC/N1,PC-1-RES-01,,0,,CRITIQUE,COR-01,2025-09-15
CL-2026-0003,EDS-PC/N1,PC-1-RES-01,,2,,UNITES,COR-01,2025-09-15
CL-2026-0003,EDS-SVT/N1,SVT-1-REDA-01,,3,,EXTRAIT,COR-01,2025-09-15
CL-2026-0003,EDS-SVT/N1,SVT-1-REDA-01,,0,,RELATION,COR-01,2025-09-15
CL-2026-0003,EDS-SVT/N1,SVT-1-REDA-01,,3,,RAISON,COR-01,2025-09-15
CL-2026-0003,EDS-SVT/N1,SVT-1-REDA-01,,0,,VOCAB,COR-01,2025-09-15
